"filename", "language", "TypeScript", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\nightscratch\Desktop\webgl\rapid.js\.VSCodeCounter\2024-02-19_15-21-08\details.md", "Markdown", 0, 0, 33, 0, 0, 6, 39
"c:\Users\nightscratch\Desktop\webgl\rapid.js\.VSCodeCounter\2024-02-19_15-21-08\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 6, 15
"c:\Users\nightscratch\Desktop\webgl\rapid.js\.VSCodeCounter\2024-02-19_15-21-08\diff.md", "Markdown", 0, 0, 12, 0, 0, 7, 19
"c:\Users\nightscratch\Desktop\webgl\rapid.js\.VSCodeCounter\2024-02-19_15-21-08\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\nightscratch\Desktop\webgl\rapid.js\.VSCodeCounter\2024-02-19_15-21-08\results.md", "Markdown", 0, 0, 28, 0, 0, 7, 35
"c:\Users\nightscratch\Desktop\webgl\rapid.js\demo\index.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\nightscratch\Desktop\webgl\rapid.js\demo\index.ts", "TypeScript", 14, 0, 0, 0, 1, 1, 16
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\regions\region.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\regions\sprite_region.ts", "TypeScript", 1, 0, 0, 0, 0, 2, 3
"Total", "-", 18, 1, 82, 1, 1, 29, 132